week,region,new,reverified,revoked
2026-W36,fct,20,,
2026-W36,kano,23,,0
2026-W36,lagos,26,,0
2026-W36,oyo,21,,0
2026-W36,rivers,15,,0
2026-W37,fct,24,,0
2026-W37,kano,37,14,
2026-W37,lagos,34,,
2026-W37,oyo,37,,0
2026-W37,rivers,18,,0
2026-W38,fct,18,,
2026-W38,kano,41,,0
2026-W38,lagos,36,,
2026-W38,oyo,25,,0
2026-W38,rivers,31,,0
2026-W39,fct,25,,0
2026-W39,kano,46,,
2026-W39,lagos,33,,0
2026-W39,oyo,34,,
2026-W39,rivers,25,,0
2026-W40,fct,28,,
2026-W40,kano,38,,
2026-W40,lagos,40,,
2026-W40,oyo,27,,0
2026-W40,rivers,21,,
2026-W41,fct,23,,
2026-W41,kano,45,,
2026-W41,lagos,42,10,
2026-W41,oyo,30,,0
2026-W41,rivers,14,10,
